Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
"Aluminum 771.0-T5, Sand Cast","{'metric_value': '2.81', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '71.0', 'metric_unit': 'GPa', 'comment': 'Compressive modulus in is typically about 2% higher for Al alloys'}","{'metric_value': '262', 'metric_unit': 'MPa', 'comment': 'AA'}","{'metric_value': '290', 'metric_unit': 'MPa', 'comment': 'AA'}",,"{'metric_value': '0.963', 'metric_unit': 'J/g-°C', 'comment': 'Typical for cast aluminum'}","[{'value': '24.7 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '90.4 - 92.5 %', '90.4 - 92.5 %', 'As remainder'], ['Chromium, Cr', '0.06 - 0.20 %', '0.06 - 0.20 %', ''], ['Copper, Cu', '<= 0.10 %', '<= 0.10 %', ''], ['Iron, Fe', '<= 0.15 %', '<= 0.15 %', ''], ['Magnesium, Mg', '0.80 - 1.0 %', '0.80 - 1.0 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '0.10 - 0.20 %', '0.10 - 0.20 %', ''], ['Zinc, Zn', '6.5 - 7.5 %', '6.5 - 7.5 %', '']]"
"Aluminum 356.0-T6, Permanent Mold Cast","{'metric_value': '2.68', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '72.4', 'metric_unit': 'GPa', 'comment': 'Compressive modulus in is typically about 2% higher for Al alloys'}","{'metric_value': '152', 'metric_unit': 'MPa', 'comment': 'AA'}","{'metric_value': '228', 'metric_unit': 'MPa', 'comment': 'AA'}","{'metric_value': '90.0', 'metric_unit': 'MPa', 'comment': 'Notch Status unknown, R.R. Moore Test'}","{'metric_value': '0.963', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '21.4 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '90.1 - 93.3 %', '90.1 - 93.3 %', 'As remainder'], ['Copper, Cu', '<= 0.25 %', '<= 0.25 %', ''], ['Iron, Fe', '<= 0.60 %', '<= 0.60 %', ''], ['Magnesium, Mg', '0.20 - 0.45 %', '0.20 - 0.45 %', ''], ['Manganese, Mn', '<= 0.35 %', '<= 0.35 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '6.5 - 7.5 %', '6.5 - 7.5 %', ''], ['Titanium, Ti', '<= 0.25 %', '<= 0.25 %', ''], ['Zinc, Zn', '<= 0.35 %', '<= 0.35 %', '']]"
Alclad Aluminum 6061-O,"{'metric_value': '2.70', 'metric_unit': 'g/cc', 'comment': 'For AA6061 (Not Alclad)'}","{'metric_value': '68.9', 'metric_unit': 'GPa', 'comment': 'AA; Typical; Average of tension and compression.  Compression modulus is about 2% greater than tensile modulus.'}","{'metric_value': '48.3', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}","{'metric_value': '117', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}",,,,"[['Aluminum, Al', '95.8 - 98.6 %', '95.8 - 98.6 %', 'As remainder'], ['Chromium, Cr', '0.04 - 0.35 %', '0.04 - 0.35 %', ''], ['Copper, Cu', '0.15 - 0.40 %', '0.15 - 0.40 %', ''], ['Iron, Fe', '<= 0.70 %', '<= 0.70 %', ''], ['Magnesium, Mg', '0.80 - 1.2 %', '0.80 - 1.2 %', ''], ['Manganese, Mn', '<= 0.15 %', '<= 0.15 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '0.40 - 0.80 %', '0.40 - 0.80 %', ''], ['Titanium, Ti', '<= 0.15 %', '<= 0.15 %', ''], ['Zinc, Zn', '<= 0.25 %', '<= 0.25 %', '']]"
www.matweb.com,,,,,,,,[]
Hexcel® HexWeb® CRF-3/8-ACG-.003-3.7 Chromate free ACG® Honeycomb,,,"{'metric_value': '2.60', 'metric_unit': 'MPa', 'comment': 'Stabilized'}",,,,,[]
Aluminum 7475-T761 (Extended High Temperature Data),"{'metric_value': '2.81', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '70.3', 'metric_unit': 'GPa', 'comment': 'AA; Typical; Average of tension and compression.  Compression modulus is about 2% greater than tensile modulus.'}","{'metric_value': '448', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}","{'metric_value': '517', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}",,"{'metric_value': '0.880', 'metric_unit': 'J/g-°C', 'comment': 'Estimated from trends in similar Al alloys.'}","[{'value': '23.4 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '88.5 - 91.5 %', '88.5 - 91.5 %', 'As remainder'], ['Chromium, Cr', '0.18 - 0.25 %', '0.18 - 0.25 %', ''], ['Copper, Cu', '1.2 - 1.9 %', '1.2 - 1.9 %', ''], ['Iron, Fe', '<= 0.12 %', '<= 0.12 %', ''], ['Magnesium, Mg', '1.9 - 2.6 %', '1.9 - 2.6 %', ''], ['Manganese, Mn', '<= 0.06 %', '<= 0.06 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.10 %', '<= 0.10 %', ''], ['Titanium, Ti', '<= 0.06 %', '<= 0.06 %', ''], ['Zinc, Zn', '5.2 - 6.2 %', '5.2 - 6.2 %', '']]"
Aluminum 7175-T66,"{'metric_value': '2.80', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '72.0', 'metric_unit': 'GPa', 'comment': 'Compressive Modulus is about 2% higher'}","{'metric_value': '520', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '590', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '160', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.864', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '23.4 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '88 - 91.4 %', '88 - 91.4 %', 'As remainder'], ['Chromium, Cr', '0.18 - 0.28 %', '0.18 - 0.28 %', ''], ['Copper, Cu', '1.2 - 2.0 %', '1.2 - 2.0 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Magnesium, Mg', '2.1 - 2.9 %', '2.1 - 2.9 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '<= 0.10 %', '<= 0.10 %', ''], ['Zinc, Zn', '5.1 - 6.1 %', '5.1 - 6.1 %', '']]"
Aluminum 3004-H34,"{'metric_value': '2.72', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '68.9', 'metric_unit': 'GPa', 'comment': 'AA; Typical; Average of tension and compression.  Compression modulus is about 2% greater than tensile modulus.'}","{'metric_value': '200', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}","{'metric_value': '241', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}","{'metric_value': '103', 'metric_unit': 'MPa', 'comment': 'completely reversed stress; RR Moore machine/specimen'}","{'metric_value': '0.893', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '23.9 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '95.5 - 98.2 %', '95.5 - 98.2 %', 'As remainder'], ['Copper, Cu', '<= 0.25 %', '<= 0.25 %', ''], ['Iron, Fe', '<= 0.70 %', '<= 0.70 %', ''], ['Magnesium, Mg', '0.80 - 1.3 %', '0.80 - 1.3 %', ''], ['Manganese, Mn', '1.0 - 1.5 %', '1.0 - 1.5 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.30 %', '<= 0.30 %', ''], ['Zinc, Zn', '<= 0.25 %', '<= 0.25 %', '']]"
Aluminum 1145-H18,"{'metric_value': '2.70', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '69.0', 'metric_unit': 'GPa', 'comment': 'Compressive Modulus is about 2% higher'}","{'metric_value': '115', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '145', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.904', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '23.6 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '>= 99.45 %', '>= 99.45 %', 'Specified'], ['Copper, Cu', '<= 0.05 %', '<= 0.05 %', ''], ['Magnesium, Mg', '<= 0.05 %', '<= 0.05 %', ''], ['Manganese, Mn', '<= 0.05 %', '<= 0.05 %', ''], ['Other, each', '<= 0.03 %', '<= 0.03 %', ''], ['Si+Fe', '<= 0.55 %', '<= 0.55 %', ''], ['Titanium, Ti', '<= 0.03 %', '<= 0.03 %', ''], ['Vanadium, V', '<= 0.05 %', '<= 0.05 %', ''], ['Zinc, Zn', '<= 0.05 %', '<= 0.05 %', '']]"
Aluminum 5454-H111; 5454-H311,"{'metric_value': '2.69', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '70.3', 'metric_unit': 'GPa', 'comment': 'AA; Typical; Average of tension and compression.  Compression modulus is about 2% greater than tensile modulus.'}","{'metric_value': '179', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}","{'metric_value': '262', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}",,"{'metric_value': '0.900', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '23.7 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '94.4 - 97.1 %', '94.4 - 97.1 %', 'As remainder'], ['Chromium, Cr', '0.05 - 0.20 %', '0.05 - 0.20 %', ''], ['Copper, Cu', '<= 0.10 %', '<= 0.10 %', ''], ['Iron, Fe', '<= 0.40 %', '<= 0.40 %', ''], ['Magnesium, Mg', '2.4 - 3.0 %', '2.4 - 3.0 %', ''], ['Manganese, Mn', '0.50 - 1.0 %', '0.50 - 1.0 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.25 %', '<= 0.25 %', ''], ['Titanium, Ti', '<= 0.20 %', '<= 0.20 %', ''], ['Zinc, Zn', '<= 0.25 %', '<= 0.25 %', '']]"
Aluminum 5005-O,"{'metric_value': '2.70', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '68.9', 'metric_unit': 'GPa', 'comment': 'AA; Typical; Average of tension and compression.  Compression modulus is about 2% greater than tensile modulus.'}","{'metric_value': '41.4', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}","{'metric_value': '124', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}",,"{'metric_value': '0.900', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '23.8 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 97 %', '<= 97 %', 'As remainder'], ['Chromium, Cr', '<= 0.10 %', '<= 0.10 %', ''], ['Copper, Cu', '<= 0.20 %', '<= 0.20 %', ''], ['Iron, Fe', '<= 0.70 %', '<= 0.70 %', ''], ['Magnesium, Mg', '0.50 - 1.1 %', '0.50 - 1.1 %', ''], ['Manganese, Mn', '<= 0.20 %', '<= 0.20 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.30 %', '<= 0.30 %', ''], ['Zinc, Zn', '<= 0.25 %', '<= 0.25 %', '']]"
Aluminum 390.0-T5 Conventional Die Cast,"{'metric_value': '2.72', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '81.2', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '260', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '295', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.963', 'metric_unit': 'J/g-°C', 'comment': 'Typical for cast aluminum'}","[{'value': '18.0 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '74.4 - 79.6 %', '74.4 - 79.6 %', 'As remainder'], ['Copper, Cu', '4.0 - 5.0 %', '4.0 - 5.0 %', ''], ['Iron, Fe', '<= 1.3 %', '<= 1.3 %', ''], ['Magnesium, Mg', '0.45 - 0.65 %', '0.45 - 0.65 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.20 %', '<= 0.20 %', ''], ['Silicon, Si', '16 - 18 %', '16 - 18 %', ''], ['Titanium, Ti', '<= 0.20 %', '<= 0.20 %', ''], ['Zinc, Zn', '<= 0.10 %', '<= 0.10 %', '']]"
Aluminum 6201-T81,"{'metric_value': '2.69', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '69.0', 'metric_unit': 'GPa', 'comment': 'Average of Tension and Compression.  In Al alloys, the compressive modulus is typically 2% greater than the tensile modulus.  Estimated from trends in similar Al alloys.'}","{'metric_value': '310', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '330', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.895', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '23.4 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '97.3 - 98.9 %', '97.3 - 98.9 %', 'As remainder'], ['Boron, B', '<= 0.06 %', '<= 0.06 %', ''], ['Chromium, Cr', '<= 0.03 %', '<= 0.03 %', ''], ['Copper, Cu', '<= 0.10 %', '<= 0.10 %', ''], ['Iron, Fe', '<= 0.50 %', '<= 0.50 %', ''], ['Magnesium, Mg', '0.60 - 0.90 %', '0.60 - 0.90 %', ''], ['Manganese, Mn', '<= 0.03 %', '<= 0.03 %', ''], ['Other, each', '<= 0.03 %', '<= 0.03 %', ''], ['Other, total', '<= 0.10 %', '<= 0.10 %', ''], ['Silicon, Si', '0.50 - 0.90 %', '0.50 - 0.90 %', ''], ['Zinc, Zn', '<= 0.10 %', '<= 0.10 %', '']]"
