Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
"Titanium, high purity","{'metric_value': '4.51', 'metric_unit': 'g/cc', 'comment': 'alpha'}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}",,,"{'metric_value': '130', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.523', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Titanium, Ti', '100 %', '100 %', '']]"
Universal Wire Works 6Al-4V (ELI) (AMS 4956) Titanium Alloy Filler Metal,,,"{'metric_value': '827', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '896', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '<= 6.75 %', '<= 6.75 %', ''], ['Carbon, C', '<= 0.030 %', '<= 0.030 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Nitrogen, N', '<= 0.012 %', '<= 0.012 %', ''], ['Other', '<= 0.10 %', '<= 0.10 %', ''], ['Oxygen, O', '<= 0.080 %', '<= 0.080 %', ''], ['Titanium, Ti', '>= 88.273 %', '>= 88.273 %', 'As Remainder'], ['Vanadium, V', '<= 4.5 %', '<= 4.5 %', '']]"
Desktop Metal Ti64 Studio System™ 3D Printed; As-Sintered,"{'metric_value': '4.32', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '730', 'metric_unit': 'MPa', 'comment': 'ASTM E8M'}","{'metric_value': '845', 'metric_unit': 'MPa', 'comment': 'ASTM E8M'}",,,,"[['Aluminum, Al', '5.50 - 6.75 %', '5.50 - 6.75 %', ''], ['Titanium, Ti', '88.75 - 91.0 %', '88.75 - 91.0 %', 'Balance'], ['Vanadium, V', '3.50 - 4.50 %', '3.50 - 4.50 %', '']]"
"ATI Wah Chang 425™ Titanium Alloy, Cold Rolled Sheet","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '119', 'metric_unit': 'GPa', 'comment': 'Long.'}","{'metric_value': '889', 'metric_unit': 'MPa', 'comment': 'Long.'}","{'metric_value': '1010', 'metric_unit': 'MPa', 'comment': 'Long.'}",,,,"[['Aluminum, Al', '4.0 %', '4.0 %', ''], ['Iron, Fe', '1.5 %', '1.5 %', ''], ['O2', '0.25 %', '0.25 %', ''], ['Titanium, Ti', '91.75 %', '91.75 %', ''], ['Vanadium, V', '2.5 %', '2.5 %', '']]"
"Kobe Steel KS40S Commercially Pure Titanium, ASTM Gr. 1, Annealed","{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '17', 'metric_unit': '0', 'comment': ''}","{'metric_value': '240', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '>= 99.495 %', '>= 99.495 %', 'As Remainder']]"
Matexcel MET-0022 Titanium-based TC18 Powder,,,,,,,,"[['Aluminum, Al', '4.4 - 5.7 %', '4.4 - 5.7 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Chromium, Cr', '0.50 - 1.5 %', '0.50 - 1.5 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '0.50 - 1.5 %', '0.50 - 1.5 %', ''], ['Molybdenum, Mo', '4.0 - 5.5 %', '4.0 - 5.5 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '0.10 %', '0.10 %', ''], ['Other, total', '0.30 %', '0.30 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Silicon, Si', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '79.225 - 86.3 %', '79.225 - 86.3 %', ''], ['Vanadium, V', '4.0 - 5.5 %', '4.0 - 5.5 %', ''], ['Zirconium, Zr', '<= 0.30 %', '<= 0.30 %', '']]"
"Titanium Ti-8V-5Fe-1Al, STA","{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '114', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1380', 'metric_unit': 'MPa', 'comment': ''}",,,,,"[['Aluminum, Al', '0.80 - 1.5 %', '0.80 - 1.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Iron, Fe', '4.0 - 6.0 %', '4.0 - 6.0 %', ''], ['Nitrogen, N', '<= 0.070 %', '<= 0.070 %', ''], ['Oxygen, O', '0.25 - 0.50 %', '0.25 - 0.50 %', ''], ['Titanium, Ti', '86 %', '86 %', ''], ['Vanadium, V', '7.5 - 8.5 %', '7.5 - 8.5 %', '']]"
Titanium Ti-8Al-1Mo-1V (Ti-8-1-1),"{'metric_value': '4.37', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '120', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '910', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '937', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '689', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.502', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '7.35 - 8.35 %', '7.35 - 8.35 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '0.75 - 1.25 %', '0.75 - 1.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '88.185 - 91.15 %', '88.185 - 91.15 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '0.75 - 1.25 %', '0.75 - 1.25 %', '']]"
Universal Wire Works 8Al-1Mo-1V (AMS 4955) Titanium Alloy Filler Metal,,,,,,,,"[['Aluminum, Al', '8.0 %', '8.0 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.010 %', '<= 0.010 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '1.0 %', '1.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '>= 89.04 %', '>= 89.04 %', 'As Remainder'], ['Vanadium, V', '1.0 %', '1.0 %', '']]"
"Titanium Ti-15Mo-5Zr ST 730°C, Aged 500°C","{'metric_value': '5.06', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Typical Value for STA beta titanium alloy.'}",,"{'metric_value': '1290', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '375', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.540', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '9.20 µm/m-°C', 'start_temp': '0.000 °C', 'end_temp': '315 °C'}]","[['Hydrogen, H', '<= 0.020 %', '<= 0.020 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['Molybdenum, Mo', '15 %', '15 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '80 %', '80 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
"Titanium Transage 134, Triplex Heat Treat 815/705/480°C","{'metric_value': '4.73', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Typical Value for STA beta titanium alloy.'}","{'metric_value': '1170', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1290', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.5 %', '2.5 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '77.5 %', '77.5 %', ''], ['Vanadium, V', '12 %', '12 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '6.0 %', '6.0 %', '']]"
Matexcel MET-0021 Titanium-basedTC11 Powder,,,,,,,,"[['Aluminum, Al', '5.8 - 7.0 %', '5.8 - 7.0 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.010 %', '<= 0.010 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '2.8 - 3.8 %', '2.8 - 3.8 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '86.31 - 90.4 %', '86.31 - 90.4 %', ''], ['Zirconium, Zr', '0.20 - 0.35 %', '0.20 - 0.35 %', ''], ['', '0.80 - 2.0 %', '0.80 - 2.0 %', '']]"
"Titanium Beta-CEZ ST 830°C (1525°F), Aged 550°C","{'metric_value': '4.69', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '122', 'metric_unit': 'GPa', 'comment': 'Unaged'}","{'metric_value': '1520', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1600', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.508', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '5.0 %', '5.0 %', ''], ['Chromium, Cr', '2.0 %', '2.0 %', ''], ['Iron, Fe', '1.0 %', '1.0 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '82 %', '82 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
"Titanium Ti-5-5-2-3 (Ti-5Mo-5V-2Cr-3Al), 12 mm Rod, Aged","{'metric_value': '4.80', 'metric_unit': 'g/cc', 'comment': 'estimated by MatWeb'}",,,"{'metric_value': '1228', 'metric_unit': 'MPa', 'comment': 'Aged Condition D'}",,,,"[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Chromium, Cr', '2.0 %', '2.0 %', ''], ['Molybdenum, Mo', '5.0 %', '5.0 %', ''], ['Titanium, Ti', '85 %', '85 %', ''], ['Vanadium, V', '5.0 %', '5.0 %', '']]"
"Titanium Ti-5-5-8-3 (Ti-5Mo-5V-8Cr-3Al), 1 to 3 mm Sheet","{'metric_value': '4.80', 'metric_unit': 'g/cc', 'comment': 'estimated by MatWeb'}",,,"{'metric_value': '980', 'metric_unit': 'MPa', 'comment': 'Solution Treated'}",,,,"[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Chromium, Cr', '8.0 %', '8.0 %', ''], ['Molybdenum, Mo', '5.0 %', '5.0 %', ''], ['Titanium, Ti', '79 %', '79 %', ''], ['Vanadium, V', '5.0 %', '5.0 %', '']]"
"Titanium Ti-5Al-2.5Sn, ELI, Annealed","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '720', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '775', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '410', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.530', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '9.40 µm/m-°C', 'start_temp': '0.000 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '5.0 %', '5.0 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Tin, Sn', '2.5 %', '2.5 %', ''], ['Titanium, Ti', '92.5 %', '92.5 %', '']]"
"Kobe Steel KSG12 Titanium alloy with low alloying elements, ASTM Gr. 12, Annealed","{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '345', 'metric_unit': 'MPa', 'comment': '0.2% proof'}","{'metric_value': '483', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '0.20 - 0.40 %', '0.20 - 0.40 %', ''], ['Nickel, Ni', '0.60 - 0.90 %', '0.60 - 0.90 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.25 %', '<= 0.25 %', ''], ['Titanium, Ti', '>= 98.025 %', '>= 98.025 %', 'As Remainder']]"
Matexcel MET-0016 Titanium-based TC4 Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 6.75 %', '5.5 - 6.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.060 %', '<= 0.060 %', ''], ['Nitrogen, N', '<= 0.010 %', '<= 0.010 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '88.315 - 91 %', '88.315 - 91 %', ''], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', '']]"
"Titanium Transage 129, Solution Treated 760°C","{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '108', 'metric_unit': 'GPa', 'comment': 'After Duplex Heat Treat 815/540ºC'}","{'metric_value': '290', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '890', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.0 %', '2.0 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '73.5 %', '73.5 %', ''], ['Vanadium, V', '11.5 %', '11.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '11 %', '11 %', '']]"
"Kobe Steel KS3-2.5 Alpha-Beta Titanium Alloy, ASTM Gr. 9, Annealed","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '483', 'metric_unit': 'MPa', 'comment': '0.2% proof'}","{'metric_value': '620', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '2.5 - 3.5 %', '2.5 - 3.5 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '>= 92.975 %', '>= 92.975 %', 'As Remainder'], ['Vanadium, V', '2.0 - 3.0 %', '2.0 - 3.0 %', '']]"
Matexcel MET-0060 Pure Ti Powder,,,,,,,,[]
"Titanium Ti-6Al-2Nb-1Ta-0.8Mo (Ti-621/0.8), STA-1","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '115', 'metric_unit': 'GPa', 'comment': 'Value for annealed sample'}","{'metric_value': '800', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '930', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.552', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '9.00 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '650 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.030 %', '<= 0.030 %', ''], ['Hydrogen, H', '<= 0.10 %', '<= 0.10 %', ''], ['Iron, Fe', '<= 0.12 %', '<= 0.12 %', ''], ['Molybdenum, Mo', '0.80 %', '0.80 %', ''], ['Niobium, Nb (Columbium, Cb)', '2.0 %', '2.0 %', ''], ['Nitrogen, N', '<= 0.020 %', '<= 0.020 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.10 %', '<= 0.10 %', ''], ['Tantalum, Ta', '1.0 %', '1.0 %', ''], ['Titanium, Ti', '90 %', '90 %', '']]"
Matexcel MET-0020 Titanium-based TA15 Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 7.1 %', '5.5 - 7.1 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '0.50 - 2.0 %', '0.50 - 2.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '0.10 %', '0.10 %', ''], ['Other, total', '0.30 %', '0.30 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '84.905 - 91.4 %', '84.905 - 91.4 %', ''], ['Vanadium, V', '0.80 - 2.5 %', '0.80 - 2.5 %', ''], ['Zirconium, Zr', '<= 0.15 %', '<= 0.15 %', ''], ['', '1.5 - 2.5 %', '1.5 - 2.5 %', '']]"
Titanium 1100 Beta Quenched and annealed,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '10', 'metric_unit': '7', 'comment': ''}","{'metric_value': '910', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1010', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '250', 'metric_unit': 'MPa', 'comment': 'notched with Kt= 3.0.'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '9.00 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Molybdenum, Mo', '0.40 %', '0.40 %', ''], ['Silicon, Si', '0.40 %', '0.40 %', ''], ['Tin, Sn', '2.7 %', '2.7 %', ''], ['Titanium, Ti', '87 %', '87 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
"Titanium Ti-15V-3Cr-3Al-3Sn ST 790°C, Aged 480°C (900°F)","{'metric_value': '4.76', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'GPa', 'comment': 'Sample was ST 790ºC, Aged 510ºC'}","{'metric_value': '1250', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1380', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.500', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '95.0 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Chromium, Cr', '3.0 %', '3.0 %', ''], ['Tin, Sn', '3.0 %', '3.0 %', ''], ['Titanium, Ti', '76 %', '76 %', ''], ['Vanadium, V', '15 %', '15 %', '']]"
ATI Wah Chang TI-3Al-2.5V,"{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '96.53', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '379', 'metric_unit': 'MPa', 'comment': 'Annealed'}","{'metric_value': '490', 'metric_unit': 'MPa', 'comment': 'Annealed'}",,,,"[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Titanium, Ti', '94.5 %', '94.5 %', ''], ['Vanadium, V', '2.5 %', '2.5 %', '']]"
Deutsche Titan Tikrutan LT 33 Alloyed Titanium,"{'metric_value': '4.54', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '116', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '930', 'metric_unit': 'MPa', 'comment': 'Annealed'}","{'metric_value': '1000', 'metric_unit': 'MPa', 'comment': 'Annealed'}",,"{'metric_value': '0.650', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}",,"[['Aluminum, Al', '5.0 - 6.0 %', '5.0 - 6.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Copper, Cu', '0.35 - 1.0 %', '0.35 - 1.0 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '0.35 - 1.0 %', '0.35 - 1.0 %', ''], ['Nitrogen, N', '<= 0.040 %', '<= 0.040 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Tin, Sn', '1.5 - 2.5 %', '1.5 - 2.5 %', ''], ['Titanium, Ti', '83.195 - 87.8 %', '83.195 - 87.8 %', ''], ['Vanadium, V', '5.0 - 6.0 %', '5.0 - 6.0 %', ''], [''], [], ['Phase Type', 'α+ß', 'At Room Temperature']]"
Titanium Ti-4.5Al-5Mo-1.5Cr (Corona 5),"{'metric_value': '4.54', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '93', 'metric_unit': '0', 'comment': ''}","{'metric_value': '1030', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '170', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.0'}",,"[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '4.5 %', '4.5 %', ''], ['Chromium, Cr', '1.5 %', '1.5 %', ''], ['Molybdenum, Mo', '5.0 %', '5.0 %', ''], ['Titanium, Ti', '89 %', '89 %', '']]"
Titanium Ti-5Al-5Sn-2Zr-2Mo-0.25Si (Ti-5522S),"{'metric_value': '4.52', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '113.8', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '83', 'metric_unit': '0', 'comment': ''}",,,,"[{'value': '10.2 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '815 °C'}]","[['Aluminum, Al', '4.5 - 5.5 %', '4.5 - 5.5 %', ''], ['Carbon, C', '<= 0.040 %', '<= 0.040 %', ''], ['Iron, Fe', '<= 0.15 %', '<= 0.15 %', ''], ['Molybdenum, Mo', '1.75 - 2.25 %', '1.75 - 2.25 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Silicon, Si', '0.20 - 0.30 %', '0.20 - 0.30 %', ''], ['Tin, Sn', '4.5 - 5.5 %', '4.5 - 5.5 %', ''], ['Titanium, Ti', '85 %', '85 %', ''], ['Zirconium, Zr', '1.75 - 2.25 %', '1.75 - 2.25 %', '']]"
Matexcel MET-0021 Titanium-basedTC11 Powder,,,,,,,,"[['Aluminum, Al', '5.8 - 7.0 %', '5.8 - 7.0 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.010 %', '<= 0.010 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '2.8 - 3.8 %', '2.8 - 3.8 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '86.31 - 90.4 %', '86.31 - 90.4 %', ''], ['Zirconium, Zr', '0.20 - 0.35 %', '0.20 - 0.35 %', ''], ['', '0.80 - 2.0 %', '0.80 - 2.0 %', '']]"
Titanium Ti-13V-11Cr-3Al (Ti-13-11-3) SolnTreat; Age 450°C,"{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1100', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1170', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '220', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.9'}","{'metric_value': '0.545', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '9.67 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '95.0 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '11 %', '11 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['Nitrogen, N', '<= 0.080 %', '<= 0.080 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '73 %', '73 %', ''], ['Vanadium, V', '13 %', '13 %', '']]"
