Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
"Haynes 625 alloy, 20% cold reduction, 1065°C anneal for 5 minutes","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '485', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '950', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
Alliance A-5 Alnico Magnetic Material,"{'metric_value': '7.30', 'metric_unit': 'g/cc', 'comment': ''}",,,,,,,[]
Special Metals Nickel 201,"{'metric_value': '8.89', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '103', 'metric_unit': 'MPa', 'comment': 'Annealed'}","{'metric_value': '403', 'metric_unit': 'MPa', 'comment': 'Annealed'}",,"{'metric_value': '0.456', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '13.1 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Carbon, C', '<= 0.020 %', '<= 0.020 %', ''], ['Copper, Cu', '<= 0.25 %', '<= 0.25 %', ''], ['Iron, Fe', '<= 0.40 %', '<= 0.40 %', ''], ['Manganese, Mn', '<= 0.35 %', '<= 0.35 %', ''], ['Nickel, Ni', '>= 99 %', '>= 99 %', 'Including Cobalt'], ['Silicon, Si', '<= 0.35 %', '<= 0.35 %', ''], ['Sulfur, S', '<= 0.010 %', '<= 0.010 %', '']]"
"Haynes 625 alloy, plate after 16000 hours at 760°C (1400°F)","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '665', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '970', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
Sandvik Osprey HTN 1A Brazing Powder,,,,,,,,"[['Aluminum, Al', '<= 0.050 %', '<= 0.050 %', ''], ['Boron, B', '2.75 - 3.5 %', '2.75 - 3.5 %', ''], ['Carbon, C', '<= 0.060 %', '<= 0.060 %', ''], ['Chromium, Cr', '13 - 15 %', '13 - 15 %', ''], ['Cobalt, Co', '<= 0.10 %', '<= 0.10 %', ''], ['Iron, Fe', '4.0 - 5.0 %', '4.0 - 5.0 %', ''], ['Nickel, Ni', '73.875 %', '73.875 %', 'As Balance'], ['Phosphorus, P', '<= 0.020 %', '<= 0.020 %', ''], ['Silicon, Si', '4.0 - 5.0 %', '4.0 - 5.0 %', ''], ['Sulfur, S', '<= 0.020 %', '<= 0.020 %', ''], ['Titanium, Ti', '<= 0.050 %', '<= 0.050 %', ''], ['Zirconium, Zr', '<= 0.050 %', '<= 0.050 %', '']]"
"California Fine Wire Stablohm 675 Nickel, Chromium and Iron Resistance Wire","{'metric_value': '8.25', 'metric_unit': 'g/cc', 'comment': ''}",,,,,,,"[['Chromium, Cr', '16 %', '16 %', ''], ['Iron, Fe', '24 %', '24 %', 'as balance'], ['Nickel, Ni', '60 %', '60 %', ''], [''], [], ['Magnetic', 'Faint', ''], ['Temperature Coefficient of Resistance', '0.00015 ohms/ohm-°C', '0-100°C'], ['Thermal EMF vs. Copper', '+0.002', '']]"
EOS NickelAlloy IN625 DMSL Powder,"{'metric_value': '8.40', 'metric_unit': 'g/cc', 'comment': 'Part; ISO 3369'}",,"{'metric_value': '62', 'metric_unit': '5', 'comment': 'in vertical direction (Z), As built; ISO 6892-1 B10'}","{'metric_value': '86', 'metric_unit': '0', 'comment': 'in vertical direction (Z), As built; ISO 6892-1 B10'}",,,,"[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '20 - 23 %', '20 - 23 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '8.0 - 10 %', '8.0 - 10 %', ''], ['Nickel, Ni', '58 - 68.85 %', '58 - 68.85 %', 'Balance'], ['Niobium, Nb (Columbium, Cb)', '3.15 - 4.15 %', '3.15 - 4.15 %', ''], ['Phosphorus, P', '<= 0.015 %', '<= 0.015 %', ''], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Sulfur, S', '<= 0.015 %', '<= 0.015 %', ''], ['Tantalum, Ta', '<= 0.050 %', '<= 0.050 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', ''], [''], [], ['Surface roughness', '1-5 µm', 'Ra, after shot peening'], ['', '3-10 µm', 'Rz, after shot peening'], ['Volume rate', '4.2 mm³/s', '']]"
MetalTek MTEK 625 Cast UNS N26625 Severe Corrosion and Heat Resistant Alloy,,,"{'metric_value': '275', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '485', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.060 %', '<= 0.060 %', ''], ['Chromium, Cr', '20 - 23 %', '20 - 23 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 1.0 %', '<= 1.0 %', ''], ['Molybdenum, Mo', '8.0 - 10 %', '8.0 - 10 %', ''], ['Nickel, Ni', '55.44 - 68.85 %', '55.44 - 68.85 %', 'As Balance'], ['Niobium, Nb (Columbium, Cb)', '3.15 - 4.5 %', '3.15 - 4.5 %', ''], ['Silicon, Si', '<= 1.0 %', '<= 1.0 %', ''], [''], [], ['Heat Treatment', 'Sol. Anneal', '']]"
"Materion Beryllium Nickel Strip - Alloy 360 Annealed, 2.5 hr at 950°F","{'metric_value': '8.28', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '19', 'metric_unit': '5', 'comment': ''}","{'metric_value': '1034', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1482', 'metric_unit': 'MPa', 'comment': ''}",,,"[{'value': '14.0 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Beryllium, Be', '1.85 - 2.05 %', '1.85 - 2.05 %', ''], ['Copper, Cu', '<= 0.25 %', '<= 0.25 %', ''], ['Nickel, Ni', '97.3 %', '97.3 %', 'as balance'], ['Titanium, Ti', '0.40 - 0.60 %', '0.40 - 0.60 %', '']]"
Proto Labs Inconel 718 - DMLS,,,"{'metric_value': '1030', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1240', 'metric_unit': 'MPa', 'comment': ''}",,,,[]
Goodfellow Nickel 80/Iron 20 Alloy,,,,,,,,"[['Iron, Fe', '20 %', '20 %', ''], ['Nickel, Ni', '80 %', '80 %', '']]"
"Haynes 625 alloy, 40% cold reduction, 1120°C anneal for 5 minutes","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '500', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '945', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
"Haynes R-41 alloy, <0.762 mm thick sheet, 30 minutes at 1066°C, air cooled, aged 16 hours at 760°C (1400°F), air cooled","{'metric_value': '8.25', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '150', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '795', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '952', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.452', 'metric_unit': 'J/g-°C@Temperature 21.0 °C', 'comment': ''}","[{'value': '13.5 µm/m-°C', 'start_temp': '21.0 °C', 'end_temp': '538 °C'}]","[['Aluminum, Al', '1.4 - 1.6 %', '1.4 - 1.6 %', ''], ['Boron, B', '0.0030 - 0.010 %', '0.0030 - 0.010 %', ''], ['Carbon, C', '0.050 - 0.12 %', '0.050 - 0.12 %', ''], ['Chromium, Cr', '18 - 20 %', '18 - 20 %', ''], ['Cobalt, Co', '10 - 12 %', '10 - 12 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Molybdenum, Mo', '9.0 - 10.5 %', '9.0 - 10.5 %', ''], ['Nickel, Ni', '53 %', '53 %', 'As Remainder'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Sulfur, S', '<= 0.015 %', '<= 0.015 %', ''], ['Titanium, Ti', '3.0 - 3.3 %', '3.0 - 3.3 %', '']]"
"Nickel, Ni","{'metric_value': '8.88', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '207', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '59.0', 'metric_unit': 'MPa', 'comment': 'Typical'}","{'metric_value': '317', 'metric_unit': 'MPa', 'comment': 'Typical'}",,"{'metric_value': '0.460', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Nickel, Ni', '100 %', '100 %', ''], [''], [], ['CAS Number', '7440-02-0', '']]"
"HP Alloys Alloy 718, 50% Cold Worked, Aged","{'metric_value': '8.20', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '200', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1710', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1813', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.435', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '12.9 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '0.20 - 0.80 %', '0.20 - 0.80 %', ''], ['Boron, B', '<= 0.0060 %', '<= 0.0060 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Chromium, Cr', '17 - 21 %', '17 - 21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Copper, Cu', '<= 0.30 %', '<= 0.30 %', ''], ['Iron, Fe', '17 %', '17 %', ''], ['Manganese, Mn', '<= 0.35 %', '<= 0.35 %', ''], ['Molybdenum, Mo', '2.8 - 3.3 %', '2.8 - 3.3 %', ''], ['Nickel, Ni', '50 - 55 %', '50 - 55 %', ''], ['Niobium, Nb (Columbium, Cb)', '4.75 - 5.5 %', '4.75 - 5.5 %', ''], ['Phosphorus, P', '<= 0.015 %', '<= 0.015 %', ''], ['Silicon, Si', '<= 0.35 %', '<= 0.35 %', ''], ['Sulfur, S', '<= 0.015 %', '<= 0.015 %', ''], ['Titanium, Ti', '0.65 - 1.15 %', '0.65 - 1.15 %', '']]"
Alliance A-6 Alnico Magnetic Material,"{'metric_value': '7.30', 'metric_unit': 'g/cc', 'comment': ''}",,,,,,,[]
"Haynes 625 alloy, plate, as annealed at 1025°C, rapid cooled","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '455', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '880', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
"Haynes R-41 alloy, 1.27 mm thick sheet, solution heat treated at 1079°C, water quenched, 30 minutes at 1066°C, air cooled, aged 16 hours at 760°C (1400°F)","{'metric_value': '8.25', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '150', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '799', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1047', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.452', 'metric_unit': 'J/g-°C@Temperature 21.0 °C', 'comment': ''}","[{'value': '13.5 µm/m-°C', 'start_temp': '21.0 °C', 'end_temp': '538 °C'}]","[['Aluminum, Al', '1.4 - 1.6 %', '1.4 - 1.6 %', ''], ['Boron, B', '0.0030 - 0.010 %', '0.0030 - 0.010 %', ''], ['Carbon, C', '0.050 - 0.12 %', '0.050 - 0.12 %', ''], ['Chromium, Cr', '18 - 20 %', '18 - 20 %', ''], ['Cobalt, Co', '10 - 12 %', '10 - 12 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Molybdenum, Mo', '9.0 - 10.5 %', '9.0 - 10.5 %', ''], ['Nickel, Ni', '53 %', '53 %', 'As Remainder'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Sulfur, S', '<= 0.015 %', '<= 0.015 %', ''], ['Titanium, Ti', '3.0 - 3.3 %', '3.0 - 3.3 %', '']]"
"Carpenter MP35N* Ni-Co-Cr-Mo Alloy, 15% Cold Reduction + Aged 538°C (1000°F)/4hr/AC","{'metric_value': '8.43', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '234.8', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '862', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1089', 'metric_unit': 'MPa', 'comment': ''}",,,"[{'value': '12.8 µm/m-°C', 'start_temp': '21.0 °C', 'end_temp': '93.0 °C'}]","[['Boron, B', '0.010 %', '0.010 %', ''], ['Carbon, C', '<= 0.025 %', '<= 0.025 %', ''], ['Chromium, Cr', '19 - 21 %', '19 - 21 %', ''], ['Cobalt, Co', '33 %', '33 %', 'as remainder'], ['Iron, Fe', '<= 1.0 %', '<= 1.0 %', ''], ['Manganese, Mn', '<= 0.15 %', '<= 0.15 %', ''], ['Molybdenum, Mo', '9.0 - 10.5 %', '9.0 - 10.5 %', ''], ['Nickel, Ni', '33 - 37 %', '33 - 37 %', ''], ['Phosphorus, P', '<= 0.015 %', '<= 0.015 %', ''], ['Silicon, Si', '<= 0.15 %', '<= 0.15 %', ''], ['Sulfur, S', '<= 0.010 %', '<= 0.010 %', ''], ['Titanium, Ti', '<= 1.0 %', '<= 1.0 %', '']]"
PSM Industries Pacific Sintered Metals FN-255-S(HT) Nickel Steel Powdered Metal (MPIF FN-0208-130HT),"{'metric_value': '7.20', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '138', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1000', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1000', 'metric_unit': 'MPa', 'comment': ''}",,,,[]
AFE Technologies Cronite 657 Nickel Alloy Castings,,,"{'metric_value': '230', 'metric_unit': 'MPa', 'comment': 'As Cast'}","{'metric_value': '450', 'metric_unit': 'MPa', 'comment': 'As Cast'}",,,,[]
